observation_date,M2SL
2000-01-01,4667.6
2000-02-01,4680.9
2000-03-01,4711.7
2000-04-01,4767.8
2000-05-01,4755.7
2000-06-01,4773.6
2000-07-01,4791.3
2000-08-01,4819.5
2000-09-01,4855.2
2000-10-01,4871.3
2000-11-01,4882.7
2000-12-01,4927.6
2001-01-01,4978.3
2001-02-01,5017.0
2001-03-01,5074.8
2001-04-01,5139.1
2001-05-01,5137.2
2001-06-01,5180.1
2001-07-01,5210.0
2001-08-01,5243.8
2001-09-01,5355.1
2001-10-01,5343.8
2001-11-01,5387.5
2001-12-01,5440.5
2002-01-01,5460.9
2002-02-01,5490.2
2002-03-01,5502.0
2002-04-01,5502.1
2002-05-01,5528.3
2002-06-01,5553.3
2002-07-01,5596.0
2002-08-01,5638.3
2002-09-01,5662.3
2002-10-01,5707.1
2002-11-01,5758.1
2002-12-01,5779.4
2003-01-01,5812.1
2003-02-01,5848.2
2003-03-01,5868.4
2003-04-01,5905.5
2003-05-01,5965.3
2003-06-01,6002.2
2003-07-01,6049.1
2003-08-01,6107.1
2003-09-01,6079.7
2003-10-01,6070.0
2003-11-01,6075.5
2003-12-01,6073.8
2004-01-01,6082.1
2004-02-01,6121.8
2004-03-01,6157.9
2004-04-01,6198.9
2004-05-01,6275.7
2004-06-01,6277.9
2004-07-01,6291.1
2004-08-01,6317.8
2004-09-01,6352.2
2004-10-01,6379.8
2004-11-01,6406.3
2004-12-01,6424.5
2005-01-01,6430.8
2005-02-01,6438.9
2005-03-01,6448.3
2005-04-01,6461.8
2005-05-01,6479.0
2005-06-01,6511.7
2005-07-01,6543.5
2005-08-01,6576.3
2005-09-01,6610.1
2005-10-01,6643.9
2005-11-01,6660.7
2005-12-01,6687.8
2006-01-01,6730.1
2006-02-01,6754.7
2006-03-01,6769.3
2006-04-01,6806.9
2006-05-01,6813.7
2006-06-01,6851.8
2006-07-01,6893.6
2006-08-01,6925.1
2006-09-01,6952.4
2006-10-01,7001.7
2006-11-01,7037.2
2006-12-01,7080.1
2007-01-01,7118.3
2007-02-01,7134.3
2007-03-01,7168.2
2007-04-01,7240.7
2007-05-01,7254.6
2007-06-01,7287.8
2007-07-01,7318.7
2007-08-01,7394.8
2007-09-01,7413.0
2007-10-01,7428.1
2007-11-01,7453.6
2007-12-01,7483.9
2008-01-01,7517.5
2008-02-01,7604.0
2008-03-01,7670.0
2008-04-01,7712.5
2008-05-01,7725.2
2008-06-01,7743.9
2008-07-01,7791.2
2008-08-01,7805.8
2008-09-01,7872.4
2008-10-01,7974.9
2008-11-01,8027.0
2008-12-01,8204.7
2009-01-01,8289.0
2009-02-01,8319.3
2009-03-01,8386.4
2009-04-01,8391.1
2009-05-01,8449.2
2009-06-01,8459.3
2009-07-01,8463.5
2009-08-01,8463.0
2009-09-01,8461.6
2009-10-01,8487.9
2009-11-01,8517.0
2009-12-01,8512.2
2010-01-01,8477.7
2010-02-01,8527.3
2010-03-01,8523.5
2010-04-01,8554.8
2010-05-01,8609.0
2010-06-01,8628.1
2010-07-01,8639.5
2010-08-01,8687.9
2010-09-01,8718.7
2010-10-01,8768.4
2010-11-01,8789.0
2010-12-01,8823.2
2011-01-01,8849.0
2011-02-01,8913.3
2011-03-01,8971.5
2011-04-01,9035.1
2011-05-01,9107.8
2011-06-01,9182.1
2011-07-01,9344.2
2011-08-01,9531.0
2011-09-01,9551.5
2011-10-01,9584.4
2011-11-01,9636.5
2011-12-01,9683.9
2012-01-01,9757.6
2012-02-01,9809.8
2012-03-01,9853.9
2012-04-01,9907.7
2012-05-01,9951.4
2012-06-01,10021.6
2012-07-01,10074.5
2012-08-01,10145.6
2012-09-01,10226.1
2012-10-01,10292.4
2012-11-01,10361.9
2012-12-01,10484.1
2013-01-01,10508.1
2013-02-01,10527.5
2013-03-01,10583.8
2013-04-01,10611.3
2013-05-01,10646.1
2013-06-01,10703.3
2013-07-01,10742.8
